id,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,name
329283,2013,9,23,557.0,600,-3.0,812.0,829,-17.0,EV,4137,N11539,EWR,ATL,108.0,746,6,0,2013-09-23 06:00:00,ExpressJet Airlines Inc.
82834,2013,11,30,1552.0,1600,-8.0,1837.0,1906,-29.0,DL,2459,N387DA,JFK,MCO,132.0,944,16,0,2013-11-30 16:00:00,Delta Air Lines Inc.
175943,2013,4,12,1117.0,1115,2.0,1401.0,1404,-3.0,UA,779,N825UA,EWR,IAH,204.0,1400,11,15,2013-04-12 11:00:00,United Air Lines Inc.
317714,2013,9,10,1257.0,1259,-2.0,1443.0,1501,-18.0,US,2083,N161UW,LGA,CLT,75.0,544,12,59,2013-09-10 12:00:00,US Airways Inc.
11216,2013,1,13,2131.0,2125,6.0,2256.0,2233,23.0,UA,963,N515UA,EWR,BOS,37.0,200,21,25,2013-01-13 21:00:00,United Air Lines Inc.
40098,2013,10,15,652.0,700,-8.0,1003.0,1003,0.0,B6,23,N613JB,JFK,LAX,338.0,2475,7,0,2013-10-15 07:00:00,JetBlue Airways
256672,2013,7,8,559.0,605,-6.0,846.0,905,-19.0,AA,1837,N3BGAA,LGA,MIA,141.0,1096,6,5,2013-07-08 06:00:00,American Airlines Inc.
306338,2013,8,28,1920.0,1735,105.0,2240.0,2048,112.0,B6,263,N638JB,JFK,SEA,323.0,2422,17,35,2013-08-28 17:00:00,JetBlue Airways
57884,2013,11,3,1156.0,1151,5.0,1415.0,1419,-4.0,FL,63,N922AT,LGA,ATL,111.0,762,11,51,2013-11-03 11:00:00,AirTran Airways Corporation
223155,2013,6,2,900.0,900,0.0,1021.0,1036,-15.0,UA,308,N464UA,LGA,ORD,118.0,733,9,0,2013-06-02 09:00:00,United Air Lines Inc.
134627,2013,2,27,1056.0,1103,-7.0,1258.0,1305,-7.0,DL,1031,N325NB,LGA,DTW,83.0,502,11,3,2013-02-27 11:00:00,Delta Air Lines Inc.
262853,2013,7,14,1306.0,1315,-9.0,1503.0,1505,-2.0,US,1291,N108UW,EWR,CLT,69.0,529,13,15,2013-07-14 13:00:00,US Airways Inc.
292196,2013,8,13,2025.0,2025,0.0,2226.0,2158,28.0,FL,357,N949AT,LGA,CAK,68.0,397,20,25,2013-08-13 20:00:00,AirTran Airways Corporation
172613,2013,4,8,2122.0,2100,22.0,2218.0,2209,9.0,UA,1585,N37409,EWR,BOS,33.0,200,21,0,2013-04-08 21:00:00,United Air Lines Inc.
321507,2013,9,14,1254.0,1249,5.0,1349.0,1352,-3.0,B6,1318,N206JB,JFK,BOS,34.0,187,12,49,2013-09-14 12:00:00,JetBlue Airways
87408,2013,12,5,1311.0,1156,75.0,1551.0,1425,86.0,UA,565,N829UA,EWR,DEN,257.0,1605,11,56,2013-12-05 11:00:00,United Air Lines Inc.
37036,2013,10,11,1554.0,1545,9.0,1958.0,1944,14.0,DL,4,N3752,JFK,SJU,206.0,1598,15,45,2013-10-11 15:00:00,Delta Air Lines Inc.
158790,2013,3,25,945.0,935,10.0,1304.0,1247,17.0,B6,375,N568JB,LGA,FLL,170.0,1076,9,35,2013-03-25 09:00:00,JetBlue Airways
27964,2013,10,1,,1159,,,1344,,MQ,3572,N523MQ,LGA,CLE,,419,11,59,2013-10-01 11:00:00,Envoy Air
296275,2013,8,18,828.0,830,-2.0,1106.0,1127,-21.0,UA,1626,N16703,EWR,SAN,315.0,2425,8,30,2013-08-18 08:00:00,United Air Lines Inc.
252863,2013,7,3,1442.0,1445,-3.0,1631.0,1642,-11.0,9E,3318,N927XJ,JFK,BUF,52.0,301,14,45,2013-07-03 14:00:00,Endeavor Air Inc.
237943,2013,6,17,2044.0,2030,14.0,2202.0,2211,-9.0,9E,4127,N8696C,JFK,IAD,43.0,228,20,30,2013-06-17 20:00:00,Endeavor Air Inc.
125857,2013,2,17,1824.0,1835,-11.0,1930.0,1950,-20.0,MQ,3944,N602MQ,JFK,BWI,36.0,184,18,35,2013-02-17 18:00:00,Envoy Air
178683,2013,4,15,1212.0,1220,-8.0,1448.0,1505,-17.0,B6,27,N351JB,JFK,TPA,143.0,1005,12,20,2013-04-15 12:00:00,JetBlue Airways
207997,2013,5,16,1601.0,1603,-2.0,1730.0,1730,0.0,YV,3791,N502MJ,LGA,IAD,47.0,229,16,3,2013-05-16 16:00:00,Mesa Airlines Inc.
148864,2013,3,14,1448.0,1455,-7.0,1620.0,1632,-12.0,9E,3318,N904XJ,JFK,BUF,61.0,301,14,55,2013-03-14 14:00:00,Endeavor Air Inc.
85167,2013,12,3,555.0,600,-5.0,848.0,856,-8.0,B6,371,N586JB,LGA,FLL,148.0,1076,6,0,2013-12-03 06:00:00,JetBlue Airways
136962,2013,3,1,1802.0,1805,-3.0,1913.0,1921,-8.0,B6,1016,N283JB,JFK,BOS,40.0,187,18,5,2013-03-01 18:00:00,JetBlue Airways
328049,2013,9,21,1407.0,1415,-8.0,1540.0,1550,-10.0,AA,1170,N494AA,LGA,STL,134.0,888,14,15,2013-09-21 14:00:00,American Airlines Inc.
314784,2013,9,7,740.0,746,-6.0,958.0,1030,-32.0,UA,1591,N33264,EWR,IAH,174.0,1400,7,46,2013-09-07 07:00:00,United Air Lines Inc.
190748,2013,4,28,915.0,920,-5.0,1153.0,1225,-32.0,AA,1739,N4WMAA,EWR,DFW,191.0,1372,9,20,2013-04-28 09:00:00,American Airlines Inc.
6085,2013,1,7,2230.0,2230,0.0,308.0,313,-5.0,B6,713,N706JB,JFK,SJU,199.0,1598,22,30,2013-01-07 22:00:00,JetBlue Airways
87815,2013,12,5,2033.0,2030,3.0,2217.0,2150,27.0,MQ,3604,N5PBMQ,EWR,ORD,125.0,719,20,30,2013-12-05 20:00:00,Envoy Air
256555,2013,7,7,2215.0,1935,160.0,55.0,2245,130.0,UA,1581,N75429,EWR,SEA,310.0,2402,19,35,2013-07-07 19:00:00,United Air Lines Inc.
82921,2013,11,30,1718.0,1715,3.0,2015.0,2035,-20.0,AA,291,N3CCAA,JFK,AUS,219.0,1521,17,15,2013-11-30 17:00:00,American Airlines Inc.
163217,2013,3,29,1840.0,1845,-5.0,2006.0,2030,-24.0,MQ,4517,N844MQ,LGA,CRW,71.0,444,18,45,2013-03-29 18:00:00,Envoy Air
172220,2013,4,8,1506.0,1449,17.0,1636.0,1625,11.0,EV,4323,N13969,EWR,RDU,66.0,416,14,49,2013-04-08 14:00:00,ExpressJet Airlines Inc.
325683,2013,9,19,10.0,2103,187.0,109.0,2226,163.0,EV,4119,N16918,EWR,RIC,43.0,277,21,3,2013-09-19 21:00:00,ExpressJet Airlines Inc.
91169,2013,12,9,1638.0,1645,-7.0,1918.0,1926,-8.0,DL,884,N333NB,LGA,DEN,255.0,1620,16,45,2013-12-09 16:00:00,Delta Air Lines Inc.
63200,2013,11,8,1858.0,1850,8.0,2215.0,2225,-10.0,VX,29,N621VA,JFK,SFO,346.0,2586,18,50,2013-11-08 18:00:00,Virgin America
94597,2013,12,13,816.0,825,-9.0,941.0,953,-12.0,9E,2912,N906XJ,JFK,DCA,53.0,213,8,25,2013-12-13 08:00:00,Endeavor Air Inc.
106581,2013,12,26,1649.0,1648,1.0,1945.0,2038,-53.0,UA,1284,N53441,EWR,SFO,336.0,2565,16,48,2013-12-26 16:00:00,United Air Lines Inc.
233600,2013,6,13,842.0,830,12.0,1049.0,1010,39.0,9E,3521,N933XJ,JFK,ORD,118.0,740,8,30,2013-06-13 08:00:00,Endeavor Air Inc.
174477,2013,4,10,2148.0,1900,168.0,2330.0,2015,195.0,US,2187,N762US,LGA,DCA,59.0,214,19,0,2013-04-10 19:00:00,US Airways Inc.
257887,2013,7,9,905.0,905,0.0,1158.0,1225,-27.0,DL,874,N364NB,LGA,MIA,153.0,1096,9,5,2013-07-09 09:00:00,Delta Air Lines Inc.
50219,2013,10,25,1801.0,1755,6.0,2032.0,2036,-4.0,DL,1629,N3740C,JFK,LAS,296.0,2248,17,55,2013-10-25 17:00:00,Delta Air Lines Inc.
123453,2013,2,14,2039.0,2040,-1.0,2358.0,2332,26.0,UA,1692,N76514,EWR,MCO,163.0,937,20,40,2013-02-14 20:00:00,United Air Lines Inc.
190284,2013,4,27,1548.0,1550,-2.0,1802.0,1805,-3.0,EV,4312,N11189,EWR,MSY,170.0,1167,15,50,2013-04-27 15:00:00,ExpressJet Airlines Inc.
188009,2013,4,25,815.0,820,-5.0,932.0,930,2.0,AA,1838,N3BRAA,JFK,BOS,32.0,187,8,20,2013-04-25 08:00:00,American Airlines Inc.
200750,2013,5,8,2117.0,2030,47.0,2248.0,2150,58.0,WN,490,N498WN,EWR,MDW,97.0,711,20,30,2013-05-08 20:00:00,Southwest Airlines Co.
60284,2013,11,5,1919.0,1930,-11.0,2153.0,2230,-37.0,DL,1485,N906DE,LGA,MCO,130.0,950,19,30,2013-11-05 19:00:00,Delta Air Lines Inc.
116102,2013,2,6,1547.0,1550,-3.0,1710.0,1710,0.0,WN,4215,N743SW,EWR,MDW,122.0,711,15,50,2013-02-06 15:00:00,Southwest Airlines Co.
193345,2013,4,30,2020.0,2030,-10.0,2135.0,2201,-26.0,FL,354,N951AT,LGA,CAK,61.0,397,20,30,2013-04-30 20:00:00,AirTran Airways Corporation
286445,2013,8,7,1917.0,1825,52.0,2043.0,2009,34.0,EV,5207,N713EV,LGA,BGR,53.0,378,18,25,2013-08-07 18:00:00,ExpressJet Airlines Inc.
3129,2013,1,4,1341.0,1340,1.0,1617.0,1626,-9.0,B6,525,N292JB,EWR,MCO,142.0,937,13,40,2013-01-04 13:00:00,JetBlue Airways
23242,2013,1,27,1934.0,1934,0.0,2225.0,2219,6.0,EV,4204,N11140,EWR,OKC,201.0,1325,19,34,2013-01-27 19:00:00,ExpressJet Airlines Inc.
138648,2013,3,3,1805.0,1800,5.0,1958.0,2006,-8.0,US,373,N524UW,JFK,CLT,79.0,541,18,0,2013-03-03 18:00:00,US Airways Inc.
315528,2013,9,8,830.0,830,0.0,938.0,947,-9.0,9E,3879,N8923A,JFK,BWI,37.0,184,8,30,2013-09-08 08:00:00,Endeavor Air Inc.
310189,2013,9,2,958.0,1000,-2.0,1117.0,1133,-16.0,FL,353,N980AT,LGA,CAK,61.0,397,10,0,2013-09-02 10:00:00,AirTran Airways Corporation
79847,2013,11,26,1929.0,1930,-1.0,2138.0,2138,0.0,EV,4361,N11155,EWR,TYS,104.0,631,19,30,2013-11-26 19:00:00,ExpressJet Airlines Inc.
150524,2013,3,16,932.0,904,28.0,1230.0,1150,40.0,UA,1740,N23707,EWR,JAC,272.0,1874,9,4,2013-03-16 09:00:00,United Air Lines Inc.
225957,2013,6,5,750.0,759,-9.0,1005.0,1020,-15.0,EV,4991,N759EV,LGA,MCI,149.0,1107,7,59,2013-06-05 07:00:00,ExpressJet Airlines Inc.
228341,2013,6,7,1610.0,1529,41.0,1752.0,1735,17.0,EV,4667,N13133,EWR,MSP,144.0,1008,15,29,2013-06-07 15:00:00,ExpressJet Airlines Inc.
111413,2013,2,1,738.0,745,-7.0,914.0,930,-16.0,AA,309,N4XYAA,LGA,ORD,121.0,733,7,45,2013-02-01 07:00:00,American Airlines Inc.
179276,2013,4,15,,1210,,,1510,,AA,743,N4WLAA,LGA,DFW,,1389,12,10,2013-04-15 12:00:00,American Airlines Inc.
76327,2013,11,22,2021.0,2000,21.0,2326.0,2303,23.0,B6,65,N606JB,JFK,ABQ,274.0,1826,20,0,2013-11-22 20:00:00,JetBlue Airways
312474,2013,9,4,1652.0,1615,37.0,1807.0,1747,20.0,B6,2302,N348JB,JFK,BUF,55.0,301,16,15,2013-09-04 16:00:00,JetBlue Airways
142747,2013,3,7,,700,,,1025,,WN,20,,EWR,HOU,,1411,7,0,2013-03-07 07:00:00,Southwest Airlines Co.
264370,2013,7,15,2140.0,2030,70.0,2315.0,2202,73.0,FL,485,N988AT,LGA,CAK,56.0,397,20,30,2013-07-15 20:00:00,AirTran Airways Corporation
73826,2013,11,20,1155.0,1159,-4.0,1259.0,1309,-10.0,MQ,3386,N848MQ,JFK,DCA,41.0,213,11,59,2013-11-20 11:00:00,Envoy Air
49206,2013,10,24,1734.0,1729,5.0,2025.0,2030,-5.0,UA,1200,N38473,EWR,SAN,326.0,2425,17,29,2013-10-24 17:00:00,United Air Lines Inc.
74368,2013,11,20,2041.0,1955,46.0,2217.0,2146,31.0,EV,5038,N712EV,LGA,BHM,121.0,866,19,55,2013-11-20 19:00:00,ExpressJet Airlines Inc.
162230,2013,3,28,1822.0,1830,-8.0,2113.0,2205,-52.0,AA,269,N3HBAA,JFK,SEA,330.0,2422,18,30,2013-03-28 18:00:00,American Airlines Inc.
22797,2013,1,27,1134.0,1129,5.0,1419.0,1419,0.0,B6,523,N615JB,EWR,MCO,128.0,937,11,29,2013-01-27 11:00:00,JetBlue Airways
97888,2013,12,16,2126.0,2129,-3.0,11.0,10,1.0,B6,527,N760JB,EWR,MCO,145.0,937,21,29,2013-12-16 21:00:00,JetBlue Airways
191501,2013,4,29,605.0,605,0.0,800.0,800,0.0,MQ,4401,N720MQ,LGA,DTW,84.0,502,6,5,2013-04-29 06:00:00,Envoy Air
193734,2013,5,1,1046.0,1045,1.0,1358.0,1420,-22.0,VX,23,N842VA,JFK,SFO,335.0,2586,10,45,2013-05-01 10:00:00,Virgin America
229786,2013,6,9,1054.0,1100,-6.0,1241.0,1307,-26.0,DL,1031,N378NW,LGA,DTW,77.0,502,11,0,2013-06-09 11:00:00,Delta Air Lines Inc.
80121,2013,11,27,738.0,740,-2.0,911.0,925,-14.0,AA,307,N3JKAA,LGA,ORD,108.0,733,7,40,2013-11-27 07:00:00,American Airlines Inc.
242216,2013,6,22,859.0,901,-2.0,1144.0,1204,-20.0,B6,63,N653JB,JFK,SEA,305.0,2422,9,1,2013-06-22 09:00:00,JetBlue Airways
170839,2013,4,7,725.0,725,0.0,839.0,900,-21.0,WN,663,N615SW,EWR,BNA,117.0,748,7,25,2013-04-07 07:00:00,Southwest Airlines Co.
292103,2013,8,13,1854.0,1900,-6.0,2122.0,2143,-21.0,DL,2454,N3749D,JFK,DEN,241.0,1626,19,0,2013-08-13 19:00:00,Delta Air Lines Inc.
249225,2013,6,29,1605.0,1609,-4.0,1859.0,1909,-10.0,UA,389,N521UA,EWR,SFO,332.0,2565,16,9,2013-06-29 16:00:00,United Air Lines Inc.
132544,2013,2,25,701.0,659,2.0,1013.0,959,14.0,AA,1815,N324AA,JFK,MCO,155.0,944,6,59,2013-02-25 06:00:00,American Airlines Inc.
148385,2013,3,14,608.0,610,-2.0,915.0,918,-3.0,B6,135,N590JB,JFK,RSW,163.0,1074,6,10,2013-03-14 06:00:00,JetBlue Airways
62317,2013,11,7,2140.0,2050,50.0,2300.0,2212,48.0,DL,985,N975DL,JFK,BOS,35.0,187,20,50,2013-11-07 20:00:00,Delta Air Lines Inc.
102595,2013,12,22,536.0,510,26.0,821.0,807,14.0,UA,211,N479UA,EWR,IAH,208.0,1400,5,10,2013-12-22 05:00:00,United Air Lines Inc.
174509,2013,4,10,2340.0,2000,220.0,342.0,2305,277.0,B6,39,N570JB,JFK,PBI,144.0,1028,20,0,2013-04-10 20:00:00,JetBlue Airways
206685,2013,5,15,935.0,945,-10.0,1216.0,1240,-24.0,B6,393,N585JB,LGA,MCO,125.0,950,9,45,2013-05-15 09:00:00,JetBlue Airways
335330,2013,9,29,1447.0,1436,11.0,1843.0,1835,8.0,B6,703,N648JB,JFK,SJU,206.0,1598,14,36,2013-09-29 14:00:00,JetBlue Airways
127773,2013,2,19,1909.0,1855,14.0,2244.0,2240,4.0,VX,29,N640VA,JFK,SFO,347.0,2586,18,55,2013-02-19 18:00:00,Virgin America
84691,2013,12,2,1453.0,1500,-7.0,1637.0,1611,26.0,US,2152,N945UW,LGA,BOS,44.0,184,15,0,2013-12-02 15:00:00,US Airways Inc.
274179,2013,7,26,615.0,620,-5.0,825.0,843,-18.0,DL,1743,N665DN,JFK,ATL,102.0,760,6,20,2013-07-26 06:00:00,Delta Air Lines Inc.
238827,2013,6,18,1958.0,2001,-3.0,2238.0,2308,-30.0,B6,1505,N612JB,JFK,ABQ,254.0,1826,20,1,2013-06-18 20:00:00,JetBlue Airways
19537,2013,1,23,1325.0,1330,-5.0,1657.0,1705,-8.0,WN,1078,N460WN,EWR,PHX,317.0,2133,13,30,2013-01-23 13:00:00,Southwest Airlines Co.
318226,2013,9,10,2227.0,2125,62.0,2335.0,2247,48.0,EV,5489,N753EV,LGA,CHO,48.0,305,21,25,2013-09-10 21:00:00,ExpressJet Airlines Inc.
58534,2013,11,4,639.0,645,-6.0,840.0,857,-17.0,9E,3769,N8533D,EWR,CVG,95.0,569,6,45,2013-11-04 06:00:00,Endeavor Air Inc.
156657,2013,3,22,1850.0,1855,-5.0,2032.0,2051,-19.0,9E,3374,N926XJ,JFK,PIT,71.0,340,18,55,2013-03-22 18:00:00,Endeavor Air Inc.
215875,2013,5,24,,600,,,712,,EV,5747,N909EV,LGA,IAD,,229,6,0,2013-05-24 06:00:00,ExpressJet Airlines Inc.
8362,2013,1,10,1353.0,1345,8.0,1628.0,1641,-13.0,B6,1783,N621JB,JFK,MCO,134.0,944,13,45,2013-01-10 13:00:00,JetBlue Airways
28710,2013,10,2,1737.0,1736,1.0,1926.0,2006,-40.0,9E,3310,N919XJ,JFK,MCI,151.0,1113,17,36,2013-10-02 17:00:00,Endeavor Air Inc.
172868,2013,4,9,848.0,855,-7.0,1112.0,1120,-8.0,MQ,4619,N521MQ,LGA,ATL,112.0,762,8,55,2013-04-09 08:00:00,Envoy Air
325303,2013,9,18,1529.0,1529,0.0,1756.0,1836,-40.0,UA,375,N415UA,EWR,SEA,300.0,2402,15,29,2013-09-18 15:00:00,United Air Lines Inc.
259029,2013,7,10,1125.0,1125,0.0,1226.0,1235,-9.0,B6,34,N292JB,JFK,BTV,47.0,266,11,25,2013-07-10 11:00:00,JetBlue Airways
74663,2013,11,21,858.0,905,-7.0,1005.0,1024,-19.0,B6,208,N192JB,JFK,PWM,47.0,273,9,5,2013-11-21 09:00:00,JetBlue Airways
218011,2013,5,27,1727.0,1715,12.0,1833.0,1829,4.0,B6,1176,N273JB,EWR,BOS,44.0,200,17,15,2013-05-27 17:00:00,JetBlue Airways
47206,2013,10,22,1653.0,1555,58.0,1856.0,1755,61.0,MQ,3199,N518MQ,LGA,CLT,96.0,544,15,55,2013-10-22 15:00:00,Envoy Air
45795,2013,10,21,903.0,910,-7.0,1208.0,1220,-12.0,AA,1,N324AA,JFK,LAX,324.0,2475,9,10,2013-10-21 09:00:00,American Airlines Inc.
307690,2013,8,30,743.0,745,-2.0,1129.0,1144,-15.0,UA,1216,N71411,EWR,SJU,200.0,1608,7,45,2013-08-30 07:00:00,United Air Lines Inc.
55685,2013,10,31,1754.0,1759,-5.0,2034.0,2029,5.0,DL,61,N675DL,LGA,ATL,113.0,762,17,59,2013-10-31 17:00:00,Delta Air Lines Inc.
272651,2013,7,24,1447.0,1354,53.0,1550.0,1510,40.0,B6,118,N265JB,JFK,BOS,42.0,187,13,54,2013-07-24 13:00:00,JetBlue Airways
263019,2013,7,14,1600.0,1606,-6.0,1841.0,1909,-28.0,B6,283,N643JB,JFK,MCO,123.0,944,16,6,2013-07-14 16:00:00,JetBlue Airways
145202,2013,3,10,1819.0,1740,39.0,1933.0,1915,18.0,WN,573,N244WN,LGA,MDW,113.0,725,17,40,2013-03-10 17:00:00,Southwest Airlines Co.
233835,2013,6,13,1440.0,1440,0.0,1634.0,1643,-9.0,DL,1231,N317NB,LGA,DTW,82.0,502,14,40,2013-06-13 14:00:00,Delta Air Lines Inc.
139183,2013,3,4,1024.0,1030,-6.0,1346.0,1355,-9.0,AA,179,N328AA,JFK,SFO,361.0,2586,10,30,2013-03-04 10:00:00,American Airlines Inc.
179823,2013,4,16,1531.0,1530,1.0,1654.0,1710,-16.0,9E,4178,N8976E,JFK,ROC,53.0,264,15,30,2013-04-16 15:00:00,Endeavor Air Inc.
86081,2013,12,3,2117.0,1932,105.0,155.0,28,87.0,B6,803,N651JB,JFK,SJU,191.0,1598,19,32,2013-12-03 19:00:00,JetBlue Airways
241302,2013,6,21,949.0,955,-6.0,1202.0,1213,-11.0,9E,4060,N8543F,LGA,DAY,76.0,549,9,55,2013-06-21 09:00:00,Endeavor Air Inc.
136707,2013,3,1,1356.0,1355,1.0,1703.0,1647,16.0,B6,1783,N709JB,JFK,MCO,145.0,944,13,55,2013-03-01 13:00:00,JetBlue Airways
245686,2013,6,25,2349.0,2025,204.0,255.0,2321,214.0,B6,1295,N646JB,JFK,AUS,187.0,1521,20,25,2013-06-25 20:00:00,JetBlue Airways
127967,2013,2,20,556.0,600,-4.0,857.0,906,-9.0,UA,1217,N16701,EWR,DFW,214.0,1372,6,0,2013-02-20 06:00:00,United Air Lines Inc.
106907,2013,12,27,557.0,600,-3.0,853.0,846,7.0,B6,583,N568JB,JFK,MCO,145.0,944,6,0,2013-12-27 06:00:00,JetBlue Airways
161195,2013,3,27,1727.0,1725,2.0,2002.0,2017,-15.0,UA,1109,N58101,EWR,MCO,136.0,937,17,25,2013-03-27 17:00:00,United Air Lines Inc.
50455,2013,10,26,451.0,500,-9.0,636.0,648,-12.0,US,881,N192UW,EWR,CLT,83.0,529,5,0,2013-10-26 05:00:00,US Airways Inc.
105703,2013,12,25,1641.0,1645,-4.0,1942.0,2010,-28.0,AA,181,N323AA,JFK,LAX,329.0,2475,16,45,2013-12-25 16:00:00,American Airlines Inc.
170618,2013,4,6,1823.0,1829,-6.0,2007.0,2031,-24.0,US,1973,N199UW,EWR,CLT,75.0,529,18,29,2013-04-06 18:00:00,US Airways Inc.
245755,2013,6,26,556.0,600,-4.0,827.0,834,-7.0,B6,27,N663JB,EWR,MCO,121.0,937,6,0,2013-06-26 06:00:00,JetBlue Airways
149120,2013,3,14,1836.0,1800,36.0,1946.0,1925,21.0,WN,3872,N912WN,EWR,MDW,107.0,711,18,0,2013-03-14 18:00:00,Southwest Airlines Co.
301790,2013,8,23,1829.0,1830,-1.0,2047.0,2038,9.0,DL,2131,N346NB,LGA,DTW,79.0,502,18,30,2013-08-23 18:00:00,Delta Air Lines Inc.
328833,2013,9,22,1453.0,1459,-6.0,1740.0,1807,-27.0,UA,1183,N32404,EWR,RSW,148.0,1068,14,59,2013-09-22 14:00:00,United Air Lines Inc.
249288,2013,6,29,1710.0,1711,-1.0,2015.0,2039,-24.0,B6,167,N520JB,JFK,OAK,320.0,2576,17,11,2013-06-29 17:00:00,JetBlue Airways
47677,2013,10,23,820.0,825,-5.0,1138.0,1120,18.0,UA,478,N446UA,EWR,MCO,146.0,937,8,25,2013-10-23 08:00:00,United Air Lines Inc.
102875,2013,12,22,1117.0,1000,77.0,1359.0,1247,72.0,B6,483,N636JB,JFK,MCO,139.0,944,10,0,2013-12-22 10:00:00,JetBlue Airways
134656,2013,2,27,1136.0,1130,6.0,1339.0,1334,5.0,US,1625,N184US,LGA,CLT,95.0,544,11,30,2013-02-27 11:00:00,US Airways Inc.
26282,2013,1,31,858.0,900,-2.0,1435.0,1530,-55.0,HA,51,N386HA,JFK,HNL,617.0,4983,9,0,2013-01-31 09:00:00,Hawaiian Airlines Inc.
24969,2013,1,29,1759.0,1800,-1.0,1853.0,1910,-17.0,WN,808,N603SW,EWR,BWI,34.0,169,18,0,2013-01-29 18:00:00,Southwest Airlines Co.
190573,2013,4,28,600.0,600,0.0,841.0,840,1.0,B6,79,N641JB,JFK,MCO,128.0,944,6,0,2013-04-28 06:00:00,JetBlue Airways
101178,2013,12,20,1200.0,1210,-10.0,1513.0,1520,-7.0,AA,1143,N3CHAA,LGA,DFW,219.0,1389,12,10,2013-12-20 12:00:00,American Airlines Inc.
302670,2013,8,24,1932.0,1936,-4.0,2222.0,2233,-11.0,B6,1271,N599JB,LGA,FLL,152.0,1076,19,36,2013-08-24 19:00:00,JetBlue Airways
335753,2013,9,29,2134.0,2110,24.0,2307.0,2255,12.0,MQ,3603,N530MQ,LGA,DTW,79.0,502,21,10,2013-09-29 21:00:00,Envoy Air
254480,2013,7,5,1404.0,1359,5.0,1643.0,1636,7.0,UA,1108,N16217,EWR,IAH,194.0,1400,13,59,2013-07-05 13:00:00,United Air Lines Inc.
116056,2013,2,6,1502.0,1455,7.0,1647.0,1645,2.0,AA,337,N506AA,LGA,ORD,131.0,733,14,55,2013-02-06 14:00:00,American Airlines Inc.
294010,2013,8,15,1648.0,1645,3.0,1945.0,1958,-13.0,UA,1250,N37471,EWR,SFO,330.0,2565,16,45,2013-08-15 16:00:00,United Air Lines Inc.
231492,2013,6,11,651.0,700,-9.0,914.0,950,-36.0,AA,2083,N499AA,EWR,DFW,177.0,1372,7,0,2013-06-11 07:00:00,American Airlines Inc.
333354,2013,9,27,759.0,759,0.0,917.0,937,-20.0,B6,885,N309JB,JFK,RDU,66.0,427,7,59,2013-09-27 07:00:00,JetBlue Airways
290686,2013,8,12,1057.0,1100,-3.0,1353.0,1359,-6.0,DL,2445,N975DL,LGA,MCO,130.0,950,11,0,2013-08-12 11:00:00,Delta Air Lines Inc.
305851,2013,8,28,858.0,900,-2.0,1101.0,1120,-19.0,DL,485,N326NB,EWR,ATL,93.0,746,9,0,2013-08-28 09:00:00,Delta Air Lines Inc.
26957,2013,1,31,,1025,,,1231,,EV,5026,N755EV,EWR,DTW,,488,10,25,2013-01-31 10:00:00,ExpressJet Airlines Inc.
239767,2013,6,19,1733.0,1720,13.0,1951.0,1942,9.0,UA,370,N495UA,EWR,PHX,274.0,2133,17,20,2013-06-19 17:00:00,United Air Lines Inc.
163814,2013,3,30,1416.0,1420,-4.0,1553.0,1620,-27.0,MQ,4588,N537MQ,LGA,MSP,142.0,1020,14,20,2013-03-30 14:00:00,Envoy Air
